day,tf,side,entry_ts,exit_ts,entry,exit,stop,target,babies,mother_rng,mother_ts,mother_high,mother_low,baby_ts_first,baby_ts_last,gross_pts,net_pts,reason,win
2025-09-03,15m,LONG,2025-09-03 14:00:00,2025-09-03 15:15:00,24758.9,24805.7,24701.2,24805.7,3,46.8,2025-09-03 13:00:00,24748.0,24701.2,2025-09-03 13:15:00,2025-09-03 13:45:00,46.8,26.8,TARGET,1
2025-09-04,15m,SHORT,2025-09-04 10:15:00,2025-09-04 12:30:00,24935.8,24878.8,25034.0,24878.8,1,57.0,2025-09-04 09:45:00,25034.0,24977.0,2025-09-04 10:00:00,2025-09-04 10:00:00,57.0,37.0,TARGET,1
2025-09-04,15m,SHORT,2025-09-04 15:15:00,2025-09-04 15:30:00,24815.0,24836.0,24878.9,24766.1,2,48.9,2025-09-04 14:30:00,24878.9,24830.0,2025-09-04 14:45:00,2025-09-04 15:00:00,-21.0,-41.0,EOD,0
2025-09-05,15m,SHORT,2025-09-05 12:00:00,2025-09-05 13:45:00,24755.0,24810.0,24810.0,24706.0,3,49.0,2025-09-05 11:00:00,24810.0,24761.0,2025-09-05 11:15:00,2025-09-05 11:45:00,-55.0,-75.0,STOP,0
2025-09-05,15m,SHORT,2025-09-05 14:45:00,2025-09-05 15:30:00,24832.8,24849.6,24899.0,24776.8,1,56.0,2025-09-05 14:15:00,24899.0,24843.0,2025-09-05 14:30:00,2025-09-05 14:30:00,-16.8,-36.8,EOD,0
2025-09-12,15m,LONG,2025-09-12 10:15:00,2025-09-12 11:30:00,25168.6,25196.6,25132.0,25196.6,2,28.0,2025-09-12 09:30:00,25160.0,25132.0,2025-09-12 09:45:00,2025-09-12 10:00:00,28.0,8.0,TARGET,1
2025-09-15,15m,SHORT,2025-09-15 13:45:00,2025-09-15 15:30:00,25165.0,25169.0,25194.7,25135.5,6,29.5,2025-09-15 12:00:00,25194.7,25165.2,2025-09-15 12:15:00,2025-09-15 13:30:00,-4.0,-24.0,EOD,0
2025-09-16,15m,LONG,2025-09-16 15:15:00,2025-09-16 15:30:00,25328.0,25352.0,25295.0,25352.0,1,24.0,2025-09-16 14:45:00,25319.0,25295.0,2025-09-16 15:00:00,2025-09-16 15:00:00,24.0,4.0,TARGET,1
2025-09-17,15m,LONG,2025-09-17 11:00:00,2025-09-17 15:30:00,25432.1,25422.0,25384.0,25472.9,4,40.8,2025-09-17 09:45:00,25424.8,25384.0,2025-09-17 10:00:00,2025-09-17 10:45:00,-10.1,-30.1,EOD,0
2025-09-22,15m,SHORT,2025-09-22 14:30:00,2025-09-22 14:45:00,25320.4,25290.3,25365.1,25290.3,1,30.1,2025-09-22 14:00:00,25365.1,25335.0,2025-09-22 14:15:00,2025-09-22 14:15:00,30.1,10.1,TARGET,1
