day,tf,side,entry_ts,exit_ts,entry,exit,stop,target,babies,mother_rng,mother_ts,mother_high,mother_low,baby_ts_first,baby_ts_last,gross_pts,net_pts,reason,win
2025-09-01,5m,LONG,2025-09-01 12:15:00,2025-09-01 12:25:00,24682.6,24699.6,24662.0,24699.6,1,17.0,2025-09-01 12:05:00,24679.0,24662.0,2025-09-01 12:10:00,2025-09-01 12:10:00,17.0,-3.0,TARGET,0
2025-09-03,5m,LONG,2025-09-03 11:20:00,2025-09-03 12:15:00,24695.0,24732.2,24655.8,24732.2,1,37.2,2025-09-03 11:10:00,24693.0,24655.8,2025-09-03 11:15:00,2025-09-03 11:15:00,37.2,17.2,TARGET,1
2025-09-03,5m,SHORT,2025-09-03 12:45:00,2025-09-03 12:55:00,24737.2,24715.3,24766.0,24715.3,3,21.9,2025-09-03 12:25:00,24766.0,24744.1,2025-09-03 12:30:00,2025-09-03 12:40:00,21.9,1.9,TARGET,1
2025-09-03,5m,SHORT,2025-09-03 13:35:00,2025-09-03 13:45:00,24715.0,24737.8,24737.8,24694.7,2,20.3,2025-09-03 13:20:00,24737.8,24717.5,2025-09-03 13:25:00,2025-09-03 13:30:00,-22.8,-42.8,STOP,0
2025-09-03,5m,SHORT,2025-09-03 14:45:00,2025-09-03 15:05:00,24755.7,24786.4,24786.4,24725.3,6,30.4,2025-09-03 14:10:00,24786.4,24756.0,2025-09-03 14:15:00,2025-09-03 14:40:00,-30.7,-50.7,STOP,0
2025-09-05,5m,LONG,2025-09-05 14:00:00,2025-09-05 14:40:00,24896.4,24824.7,24824.7,24941.7,1,45.3,2025-09-05 13:50:00,24870.0,24824.7,2025-09-05 13:55:00,2025-09-05 13:55:00,-71.7,-91.7,STOP,0
2025-09-08,5m,LONG,2025-09-08 12:35:00,2025-09-08 12:40:00,24945.0,24966.1,24918.9,24966.1,4,21.1,2025-09-08 12:10:00,24940.0,24918.9,2025-09-08 12:15:00,2025-09-08 12:30:00,21.1,1.1,TARGET,1
2025-09-08,5m,SHORT,2025-09-08 14:50:00,2025-09-08 15:00:00,24920.0,24898.0,24979.0,24898.0,2,22.0,2025-09-08 14:35:00,24979.0,24957.0,2025-09-08 14:40:00,2025-09-08 14:45:00,22.0,2.0,TARGET,1
2025-09-09,5m,SHORT,2025-09-09 09:35:00,2025-09-09 14:30:00,24932.0,24968.0,24968.0,24901.9,1,30.1,2025-09-09 09:25:00,24968.0,24937.9,2025-09-09 09:30:00,2025-09-09 09:30:00,-36.0,-56.0,STOP,0
2025-09-09,5m,SHORT,2025-09-09 13:45:00,2025-09-09 14:30:00,24946.7,24965.0,24965.0,24931.7,1,15.0,2025-09-09 13:35:00,24965.0,24950.0,2025-09-09 13:40:00,2025-09-09 13:40:00,-18.3,-38.3,STOP,0
